Amplitude (DN),Elevation (m)
256.84543,16.32305177
256.52637,16.17332015
255.46909,16.02358853
253.45372,15.87385691
250.5122,15.7241253
247.0789,15.57439368
243.89015,15.42466206
241.53137,15.27493045
240.09499,15.12519883
239.33531,14.97546721
238.89722,14.82573559
238.5093,14.67600398
237.98839,14.52627236
237.36278,14.37654074
236.86809,14.22680913
236.8601,14.07707751
237.45564,13.92734589
238.34323,13.77761428
238.91632,13.62788266
238.7054,13.47815104
237.68083,13.32841942
236.2548,13.17868781
235.00946,13.02895619
234.26991,12.87922457
233.95544,12.72949296
233.7964,12.57976134
233.71198,12.43002972
233.92554,12.2802981
234.65169,12.13056649
235.63348,11.98083487
236.28484,11.83110325
236.35234,11.68137164
236.21239,11.53164002
236.58624,11.3819084
237.89233,11.23217679
239.92279,11.08244517
242.04651,10.93271355
243.67053,10.78298193
244.38779,10.63325032
244.19504,10.4835187
243.42165,10.33378708
242.6102,10.18405547
242.23924,10.03432385
242.52211,9.884592232
243.2088,9.734860614
243.643,9.585128997
243.03685,9.43539738
241.06238,9.285665763
238.3965,9.135934146
236.51765,8.986202529
236.80244,8.836470912
239.37173,8.686739295
242.92702,8.537007678
245.69484,8.387276061
246.80185,8.237544444
246.77148,8.087812827
246.91118,7.93808121
248.15315,7.788349593
250.49068,7.638617975
253.16914,7.488886358
255.30432,7.339154741
256.37927,7.189423124
256.45142,7.039691507
255.9968,6.88995989
255.63562,6.740228273
255.70116,6.590496656
256.08273,6.440765039
256.3568,6.291033422
256.1711,6.141301805
255.37321,5.991570188
253.9181,5.841838571
251.74774,5.692106954
248.95448,5.542375336
246.07835,5.392643719
244.00749,5.242912102
243.38101,5.093180485
243.95961,4.943448868
244.76518,4.793717251
244.76582,4.643985634
243.61227,4.494254017
241.67966,4.3445224
239.63402,4.194790783
237.8946,4.045059166
236.60112,3.895327549
235.78157,3.745595932
235.54695,3.595864314
236.0086,3.446132697
237.0529,3.29640108
238.15457,3.146669463
238.65683,2.996937846
238.19951,2.847206229
237.07649,2.697474612
236.06349,2.547742995
235.99042,2.398011378
237.2305,2.248279761
239.60439,2.098548144
242.5099,1.948816527
245.29092,1.79908491
247.43652,1.649353293
248.73639,1.499621675
249.20682,1.349890058
249.06606,1.200158441
248.62206,1.050426824
248.13225,0.900695207
247.60226,0.75096359
246.74446,0.601231973
245.16536,0.451500356
242.79808,0.301768739
240.03493,0.152037122
237.59853,0.002305505
236.06372,-0.147426112
235.51338,-0.297157729
235.53891,-0.446889346
235.60478,-0.596620964
235.30348,-0.746352581
234.63107,-0.896084198
233.95816,-1.045815815
233.87755,-1.195547432
234.79472,-1.345279049
236.5666,-1.495010666
238.4108,-1.644742283
239.38023,-1.7944739
238.9265,-1.944205517
237.20131,-2.093937134
234.84915,-2.243668751
232.66228,-2.393400368
231.21724,-2.543131985
230.83966,-2.692863603
231.66832,-2.84259522
233.68883,-2.992326837
236.57951,-3.142058454
239.56474,-3.291790071
241.53743,-3.441521688
241.82466,-3.591253305
240.6072,-3.740984922
238.76704,-3.890716539
237.19803,-4.040448156
236.3445,-4.190179773
236.0978,-4.33991139
236.19058,-4.489643007
236.26147,-4.639374624
236.12128,-4.789106242
235.8553,-4.938837859
235.79575,-5.088569476
236.11891,-5.238301093
236.71042,-5.38803271
237.19139,-5.537764327
237.39023,-5.687495944
237.41708,-5.837227561
237.48729,-5.986959178
237.58862,-6.136690795
237.65166,-6.286422412
237.85153,-6.436154029
238.79626,-6.585885646
240.97255,-6.735617264
244.21332,-6.885348881
247.59862,-7.035080498
250.04182,-7.184812115
251.00316,-7.334543732
250.72093,-7.484275349
249.89764,-7.634006966
249.25938,-7.783738583
249.27026,-7.9334702
250.00502,-8.083201817
251.2453,-8.232933434
252.54143,-8.382665051
253.51978,-8.532396668
254.13358,-8.682128285
254.79073,-8.831859903
256.14532,-8.98159152
258.68158,-9.131323137
262.37335,-9.281054754
266.68185,-9.430786371
270.84656,-9.580517988
274.2969,-9.730249605
276.93863,-9.879981222
279.10983,-10.02971284
281.39566,-10.17944446
284.1092,-10.32917607
287.0305,-10.47890769
289.48422,-10.62863931
290.87534,-10.77837092
291.2204,-10.92810254
291.02393,-11.07783416
290.50653,-11.22756578
289.20898,-11.37729739
286.35062,-11.52702901
281.60898,-11.67676063
275.58008,-11.82649224
269.30392,-11.97622386
263.6499,-12.12595548
259.0404,-12.2756871
255.58014,-12.42541871
253.23767,-12.57515033
251.81665,-12.72488195
250.9033,-12.87461356
250.02914,-13.02434518
248.98685,-13.1740768
248.00616,-13.32380841
247.57487,-13.47354003
247.91998,-13.62327165
248.79495,-13.77300327
249.54199,-13.92273488
249.49583,-14.0724665
248.36342,-14.22219812
246.44887,-14.37192973
244.53885,-14.52166135
243.5126,-14.67139297
243.66946,-14.82112459
244.42134,-14.9708562
244.58371,-15.12058782
243.31583,-15.27031944
240.74925,-15.42005105
237.87964,-15.56978267
235.85251,-15.71951429
235.27107,-15.8692459
235.95442,-16.01897752
237.18669,-16.16870914
238.08316,-16.31844076
237.83603,-16.46817237
236.08438,-16.61790399
233.14798,-16.76763561
230.0468,-16.91736722
227.99083,-17.06709884
227.69643,-17.21683046
228.89053,-17.36656208
230.61754,-17.51629369
231.80704,-17.66602531
231.79019,-17.81575693
230.6201,-17.96548854
229.10751,-18.11522016
228.3674,-18.26495178
229.06645,-18.4146834
230.85039,-18.56441501
232.5968,-18.71414663
233.28395,-18.86387825
232.64949,-19.01360986
231.16632,-19.16334148
229.59784,-19.3130731
228.57709,-19.46280471
228.36357,-19.61253633
228.73286,-19.76226795
229.23701,-19.91199957
229.56099,-20.06173118
229.77971,-20.2114628
230.16542,-20.36119442
230.7848,-20.51092603
231.3098,-20.66065765
231.32817,-20.81038927
230.65248,-20.96012089
229.57587,-21.1098525
228.67497,-21.25958412
228.46921,-21.40931574
229.00307,-21.55904735
229.803,-21.70877897
230.10565,-21.85851059
229.50142,-22.0082422
228.28818,-22.15797382
227.35493,-22.30770544
227.47876,-22.45743706
228.68465,-22.60716867
230.15489,-22.75690029
230.94777,-22.90663191
230.7823,-23.05636352
230.15712,-23.20609514
229.7698,-23.35582676
229.7735,-23.50555838
229.6619,-23.65528999
228.94502,-23.80502161
227.77469,-23.95475323
226.87657,-24.10448484
226.779,-24.25421646
227.28891,-24.40394808
227.69925,-24.5536797
227.61665,-24.70341131
227.33905,-24.85314293
227.5596,-25.00287455
228.60745,-25.15260616
230.20348,-25.30233778
231.6556,-25.4520694
232.48878,-25.60180101
232.82347,-25.75153263
233.10275,-25.90126425
233.39056,-26.05099587
233.18262,-26.20072748
231.85857,-26.3504591
229.4692,-26.50019072
226.92986,-26.64992233
225.30357,-26.79965395
225.05055,-26.94938557
225.94815,-27.09911719
227.48405,-27.2488488
229.20354,-27.39858042
230.84294,-27.54831204
232.15009,-27.69804365
232.94109,-27.84777527
233.09842,-27.99750689
232.741,-28.1472385
232.11673,-28.29697012
231.57661,-28.44670174
231.28175,-28.59643336
231.22095,-28.74616497
231.16006,-28.89589659
230.99455,-29.04562821
230.79362,-29.19535982
230.78366,-29.34509144
231.0375,-29.49482306
231.35548,-29.64455468
231.35477,-29.79428629
230.95186,-29.94401791
230.47754,-30.09374953
230.35959,-30.24348114
230.6762,-30.39321276
231.08188,-30.54294438
231.13855,-30.692676
230.65793,-30.84240761
229.71242,-30.99213923
228.5417,-31.14187085
227.51361,-31.29160246
227.00972,-31.44133408
227.14328,-31.5910657
227.58354,-31.74079731
227.81479,-31.89052893
227.64264,-32.04026055
227.35239,-32.18999217
227.4775,-32.33972378
228.30061,-32.4894554
229.59001,-32.63918702
230.75182,-32.78891863
231.21622,-32.93865025
230.81723,-33.08838187
229.88586,-33.23811349
228.9318,-33.3878451
228.13553,-33.53757672
227.3033,-33.68730834
226.16057,-33.83703995
224.8938,-33.98677157
224.06776,-34.13650319
224.22504,-34.2862348
225.37201,-34.43596642
227.02586,-34.58569804
228.5698,-34.73542966
229.63849,-34.88516127
230.06506,-35.03489289
229.8101,-35.18462451
229.01431,-35.33435612
228.08948,-35.48408774
227.61708,-35.63381936
227.89444,-35.78355098
228.64102,-35.93328259
229.19838,-36.08301421
229.08154,-36.23274583
228.3523,-36.38247744
227.56152,-36.53220906
227.23978,-36.68194068
227.41325,-36.8316723
227.5125,-36.98140391
226.95975,-37.13113553
225.76181,-37.28086715
224.5465,-37.43059876
223.88017,-37.58033038
223.76958,-37.730062
223.8902,-37.87979361
224.13402,-38.02952523
224.66849,-38.17925685
225.51382,-38.32898847
226.37039,-38.47872008
226.86053,-38.6284517
227.05179,-38.77818332
227.31482,-38.92791493
228.01111,-39.07764655
229.1503,-39.22737817
230.46594,-39.37710979
231.54704,-39.5268414
232.18567,-39.67657302
232.36748,-39.82630464
232.24101,-39.97603625
232.02925,-40.12576787
231.92345,-40.27549949
231.98724,-40.4252311
232.11737,-40.57496272
231.98611,-40.72469434
231.2422,-40.87442596
229.88388,-41.02415757
228.32568,-41.17388919
227.19006,-41.32362081
226.82433,-41.47335242
227.03104,-41.62308404
227.2418,-41.77281566
226.99162,-41.92254728
226.24078,-42.07227889
225.44743,-42.22201051
225.2555,-42.37174213
226.08937,-42.52147374
227.87779,-42.67120536
230.036,-42.82093698
231.71948,-42.9706686
232.2732,-43.12040021
231.62244,-43.27013183
230.22253,-43.41986345
228.76357,-43.56959506
227.80788,-43.71932668
227.51735,-43.8690583
227.64468,-44.01878991
227.77045,-44.16852153
227.56116,-44.31825315
227.12349,-44.46798477
226.9669,-44.61771638
227.48346,-44.767448
228.47163,-44.91717962
229.286,-45.06691123
229.39873,-45.21664285
228.85803,-45.36637447
228.12225,-45.51610609
227.56151,-45.6658377
227.20439,-45.81556932
227.02365,-45.96530094
227.15886,-46.11503255
227.78983,-46.26476417
228.8854,-46.41449579
230.15056,-46.5642274
231.18263,-46.71395902
231.73238,-46.86369064
231.73529,-47.01342226
231.294,-47.16315387
230.71231,-47.31288549
230.37009,-47.46261711
230.43745,-47.61234872
230.65729,-47.76208034
230.51166,-47.91181196
229.72342,-48.06154358
228.62816,-48.21127519
227.96921,-48.36100681
228.27774,-48.51073843
229.4022,-48.66047004
230.58913,-48.81020166
231.11662,-48.95993328
230.74577,-49.1096649
229.7581,-49.25939651
228.57094,-49.40912813
227.55426,-49.55885975
226.87369,-49.70859136
226.68196,-49.85832298
227.0491,-50.0080546
227.95538,-50.15778621
229.1719,-50.30751783
230.34212,-50.45724945
231.04318,-50.60698107
231.12315,-50.75671268
230.75633,-50.9064443
230.24257,-51.05617592
229.70514,-51.20590753
228.90239,-51.35563915
227.59631,-51.50537077
225.94327,-51.65510239
224.55106,-51.804834
223.95721,-51.95456562
224.2013,-52.10429724
224.73848,-52.25402885
225.12022,-52.40376047
225.38205,-52.55349209
226.01952,-52.7032237
227.46024,-52.85295532
229.53668,-53.00268694
231.3876,-53.15241856
232.12073,-53.30215017
231.47914,-53.45188179
230.17166,-53.60161341
229.2913,-53.75134502
229.32184,-53.90107664
229.74426,-54.05080826
229.76343,-54.20053988
229.09053,-54.35027149
228.26859,-54.50000311
228.01962,-54.64973473
228.46515,-54.79946634
228.9295,-54.94919796
228.61804,-55.09892958
227.29767,-55.2486612
225.60999,-55.39839281
224.51239,-55.54812443
224.50702,-55.69785605
225.39812,-55.84758766
226.63773,-55.99731928
227.68956,-56.1470509
228.21777,-56.29678251
228.10081,-56.44651413
227.45377,-56.59624575
226.72438,-56.74597737
226.46513,-56.89570898
226.98822,-57.0454406
228.1503,-57.19517222
229.41397,-57.34490383
230.10472,-57.49463545
229.88867,-57.64436707
228.94586,-57.79409869
227.90201,-57.9438303
227.39221,-58.09356192
227.74944,-58.24329354
228.8639,-58.39302515
230.40805,-58.54275677
231.97192,-58.69248839
233.19258,-58.84222
233.74982,-58.99195162
233.54279,-59.14168324
232.70015,-59.29141486
231.5637,-59.44114647
230.45929,-59.59087809
229.64105,-59.74060971
229.30618,-59.89034132
229.57283,-60.04007294
230.15549,-60.18980456
230.45541,-60.33953618
229.97441,-60.48926779
228.94673,-60.63899941
228.2036,-60.78873103
228.43968,-60.93846264
229.59079,-61.08819426
231.02147,-61.23792588
232.03209,-61.3876575
232.25815,-61.53738911
231.69556,-61.68712073
230.58968,-61.83685235
229.33983,-61.98658396
228.32838,-62.13631558
227.79556,-62.2860472
227.73949,-62.43577881
228.00835,-62.58551043
228.36165,-62.73524205
228.53468,-62.88497367
228.33145,-63.03470528
227.67824,-63.1844369
226.57677,-63.33416852
225.28777,-63.48390013
224.35721,-63.63363175
224.40492,-63.78336337
225.69434,-63.93309499
227.85725,-64.0828266
230.04787,-64.23255822
231.48393,-64.38228984
231.72061,-64.53202145
230.82355,-64.68175307
229.34593,-64.83148469
228.08995,-64.9812163
227.61592,-65.13094792
227.91321,-65.28067954
228.4653,-65.43041116
228.83488,-65.58014277
229.0136,-65.72987439
229.24477,-65.87960601
229.64949,-66.02933762
230.07564,-66.17906924
230.27408,-66.32880086
230.18419,-66.47853248
229.94247,-66.62826409
229.63617,-66.77799571
229.26357,-66.92772733
228.8142,-67.07745894
228.47105,-67.22719056
228.51099,-67.37692218
229.00487,-67.52665379
229.67336,-67.67638541
230.13297,-67.82611703
230.1785,-67.97584865
229.91415,-68.12558026
229.58368,-68.27531188
229.30745,-68.4250435
229.03781,-68.57477511
228.60464,-68.72450673
227.94627,-68.87423835
227.21492,-69.02396997
226.74174,-69.17370158
226.75099,-69.3234332
227.27687,-69.47316482
228.14357,-69.62289643
229.10686,-69.77262805
229.89615,-69.92235967
230.34769,-70.07209129
230.45285,-70.2218229
230.45439,-70.37155452
230.69173,-70.52128614
231.34064,-70.67101775
232.23996,-70.82074937
232.94753,-70.97048099
233.02666,-71.1202126
232.39561,-71.26994422
231.404,-71.41967584
230.54214,-71.56940746
230.14505,-71.71913907
230.19814,-71.86887069
230.49902,-72.01860231
230.8268,-72.16833392
230.9646,-72.31806554
230.66196,-72.46779716
229.70958,-72.61752878
228.13783,-72.76726039
226.35684,-72.91699201
225.05916,-73.06672363
224.68695,-73.21645524
225.11954,-73.36618686
225.82071,-73.51591848
226.39595,-73.66565009
226.92397,-73.81538171
227.77075,-73.96511333
229.00842,-74.11484495
230.21837,-74.26457656
230.87538,-74.41430818
230.74078,-74.5640398
230.04378,-74.71377141
229.24507,-74.86350303
228.71117,-75.01323465
228.53528,-75.16296627
